web_scraper_order,web_scraper_start_url,rooms_area_price_raw,adress_raw,price_raw,descriptions_raw,text_raw
"1762630487-1","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","4.5 Zimmer, 89m², CHF 1’960.–","Zypressenstrasse 11, 8408 Winterthur","CHF 1’960.–","ruhiges Wohnen im Herzen von Wüflingen",""
"1762630487-2","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3.5 Zimmer, 68m², CHF 2’510.–","Talgutstrasse 25/27, 8400 Winterthur","CHF 2’510.–","Ihr neuer Lebensraum: modern, grün, vernetzt",""
"1762630487-3","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3.5 Zimmer, 80m², CHF 2’930.–","Tösstalstrasse 93, 8400 Winterthur","CHF 2’930.–","Ihr neuer Lebensraum: modern, grün, vernetzt",""
"1762630487-4","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3 Zimmer, 76m², CHF 2’220.–","Tösstalstrasse 151, 8400 Winterthur","CHF 2’220.–","Zentral gelegene Familienwohnung - frisch saniert",""
"1762630487-5","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","1.5 Zimmer, 40m², CHF 1’350.–","Wülflingerstrasse 137, 8408 Winterthur","CHF 1’350.–","Ihr neues Zuhause in Winterthur-Wülflingen",""
"1762630487-6","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3 Zimmer, 61m², CHF 1’550.–","Im Geissacker 75/77/79, 8404 Winterthur","CHF 1’550.–","Ruhige, schöne Wohnlage in Oberwinterthur",""
"1762630487-7","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","2 Zimmer, 43m², CHF 1’800.–","8404 Winterthur","CHF 1’800.–","Neue 2-Zimmer-Wohnung in Winterthur-Hegi",""
"1762630487-8","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","5 Zimmer, CHF 2’580.–","Dättnauerstr. 107, 8406 Winterthur","CHF 2’580.–","Grosszügige Wohnung mit Blick ins Grüne",""
"1762630487-9","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3.5 Zimmer, 80m², CHF 2’050.–","Feldstrasse 32, 8400 Winterthur","CHF 2’050.–","Helle Stadtwohnung in beliebtem Wohnquartier",""
"1762630487-10","https://www.immoscout24.ch/de/wohnung/mieten/ort-winterthur?pn=5","3.5 Zimmer, 98m², CHF 2’567.–","Schlosstalstrasse 26, 8406 Winterthur","CHF 2’567.–","Modernes Wohnen in Winterthur",""
